State,Agency,Category,Offense,Crimes
California,Montague,Total,"Total, all crimes",13
California,Montclair,Total,"Total, all crimes","2,228"
California,Monte Sereno,Total,"Total, all crimes",33
California,Montebello,Total,"Total, all crimes","2,099"
California,Monterey,Total,"Total, all crimes","1,714"
California,Monterey County,Total,"Total, all crimes","2,853"
California,Monterey Highway Patrol,Total,"Total, all crimes","1,654"
California,Monterey Park,Total,"Total, all crimes","1,120"
California,Monterey Peninsula Airpo,Total,"Total, all crimes",3
California,Moorpark,Total,"Total, all crimes","1,721"
California,Moraga,Total,"Total, all crimes",116
California,Moreno Valley,Total,"Total, all crimes","7,286"
California,Morgan Hill,Total,"Total, all crimes","1,573"
California,Morro Bay,Total,"Total, all crimes",628
California,Mount Shasta,Total,"Total, all crimes",189
California,Mountain View,Total,"Total, all crimes","3,147"
California,Murrieta,Total,"Total, all crimes","2,846"
California,Napa,Total,"Total, all crimes","2,905"
California,Napa County,Total,"Total, all crimes",854
California,Napa Highway Patrol,Total,"Total, all crimes",524
California,Napa State Hosp Napa Co,Total,"Total, all crimes",18
California,National City,Total,"Total, all crimes","2,882"
California,Needles,Total,"Total, all crimes",617
California,Nevada City,Total,"Total, all crimes",356
California,Nevada County,Total,"Total, all crimes","1,542"
California,Nevada Highway Patrol,Total,"Total, all crimes",357
California,Newark,Total,"Total, all crimes","1,737"
California,Newman,Total,"Total, all crimes",417
California,Newport Beach,Total,"Total, all crimes","4,331"
California,Norco,Total,"Total, all crimes",704
California,Norwalk,Total,"Total, all crimes","3,720"
California,Novato,Total,"Total, all crimes","1,932"
California,Oakdale,Total,"Total, all crimes","1,444"
California,Oakland,Total,"Total, all crimes","10,668"
California,Oakley,Total,"Total, all crimes",807
California,Oceanside,Total,"Total, all crimes","6,614"
California,Ojai,Total,"Total, all crimes",397
California,Ontario,Total,"Total, all crimes","9,897"
California,Orange,Total,"Total, all crimes","6,260"
California,Orange County,Total,"Total, all crimes","4,698"
California,Orange County Marshal,Total,"Total, all crimes",NA
California,Orange Cove,Total,"Total, all crimes",NA
California,Orange Highway Patrol,Total,"Total, all crimes","4,174"
California,Orange Santa Fe Railway,Total,"Total, all crimes",NA
California,Orange State Police,Total,"Total, all crimes",NA
California,Orinda,Total,"Total, all crimes",126
California,Orland,Total,"Total, all crimes",571
California,Oroville,Total,"Total, all crimes","2,447"
California,Oxnard,Total,"Total, all crimes","13,615"
California,Pacific Grove,Total,"Total, all crimes",290
California,Pacifica,Total,"Total, all crimes",804
California,Palm Desert,Total,"Total, all crimes","1,346"
California,Palm Springs,Total,"Total, all crimes","3,680"
California,Palmdale,Total,"Total, all crimes","7,743"
California,Palo Alto,Total,"Total, all crimes","1,625"
California,Palos Verdes Estates,Total,"Total, all crimes",344
California,Paradise,Total,"Total, all crimes","1,568"
California,Paramount,Total,"Total, all crimes","1,896"
California,Parlier,Total,"Total, all crimes",731
California,Pasadena,Total,"Total, all crimes","6,767"
California,Pasadena Community College,Total,"Total, all crimes",38
California,Paso Robles,Total,"Total, all crimes","1,666"
California,Patterson,Total,"Total, all crimes",585
California,Patton State Hospital,Total,"Total, all crimes",5
California,Perris,Total,"Total, all crimes","1,638"
California,Petaluma,Total,"Total, all crimes","2,474"
California,Pico Rivera,Total,"Total, all crimes","4,095"
California,Piedmont,Total,"Total, all crimes",89
California,Pinole,Total,"Total, all crimes",943
California,Pismo Beach,Total,"Total, all crimes",910
California,Pittsburg,Total,"Total, all crimes","2,671"
California,Placentia,Total,"Total, all crimes","1,664"
California,Placer County,Total,"Total, all crimes","3,898"
California,Placer Highway Patrol,Total,"Total, all crimes",561
California,Placerville,Total,"Total, all crimes",690
California,Pleasant Hill,Total,"Total, all crimes",975
California,Pleasanton,Total,"Total, all crimes","1,838"
California,Plumas County,Total,"Total, all crimes",974
California,Plumas Highway Patrol,Total,"Total, all crimes",281
California,Pomona,Total,"Total, all crimes","5,852"
California,Pomona Unfd School Dist,Total,"Total, all crimes",NA
California,Port Hueneme,Total,"Total, all crimes","1,358"
California,Port of San Diego Harbor,Total,"Total, all crimes","1,692"
California,Porterville,Total,"Total, all crimes","4,432"
California,Porterville Develop Center,Total,"Total, all crimes",NA
California,Poway,Total,"Total, all crimes","1,028"
California,Rancho Cordova,Total,"Total, all crimes","2,325"
California,Rancho Cucamonga,Total,"Total, all crimes","6,509"
California,Rancho Mirage,Total,"Total, all crimes",475
California,Rancho Palos Verdes,Total,"Total, all crimes",239
California,Rancho Santa Margarita,Total,"Total, all crimes",792
California,Red Bluff,Total,"Total, all crimes","1,443"
California,Redding,Total,"Total, all crimes","8,406"
California,Redlands,Total,"Total, all crimes","3,060"
California,Redondo Beach,Total,"Total, all crimes","2,233"
California,Redwood City,Total,"Total, all crimes","2,296"
California,Reedley,Total,"Total, all crimes","1,498"
California,Reedley College,Total,"Total, all crimes",NA
California,Rialto,Total,"Total, all crimes","2,918"
California,Richmond,Total,"Total, all crimes","3,224"
California,Ridgecrest,Total,"Total, all crimes","2,311"
California,Rio Dell,Total,"Total, all crimes",287
California,Rio Vista,Total,"Total, all crimes",160
California,Ripon,Total,"Total, all crimes",654
California,Riverbank,Total,"Total, all crimes",655
California,Riverside,Total,"Total, all crimes","11,168"
California,Riverside Comm College,Total,"Total, all crimes",100
California,Riverside County,Total,"Total, all crimes","9,090"
California,Riverside Highway Patrol,Total,"Total, all crimes","5,534"
California,Riverside Santa Fe Railway,Total,"Total, all crimes",NA
California,Riverside State Police,Total,"Total, all crimes",NA
California,Rocklin,Total,"Total, all crimes","1,225"
California,Rohnert Park,Total,"Total, all crimes","1,669"
California,Rolling Hills,Total,"Total, all crimes",16
California,Rolling Hills Estates,Total,"Total, all crimes",92
California,Rosemead,Total,"Total, all crimes","1,701"
California,Roseville,Total,"Total, all crimes","5,755"
California,Ross,Total,"Total, all crimes",29
California,S Pacific Trans Siskiyou,Total,"Total, all crimes",NA
California,Sacramento,Total,"Total, all crimes","24,421"
California,Sacramento County,Total,"Total, all crimes","14,307"
California,Sacramento Highway Patro,Total,"Total, all crimes","4,152"
California,Salinas,Total,"Total, all crimes","5,538"
California,San Anselmo,Total,"Total, all crimes",190
California,San Benito County,Total,"Total, all crimes",597
California,San Benito Highway Patro,Total,"Total, all crimes",145
California,San Bernardino,Total,"Total, all crimes","9,002"
California,San Bernardino Co Welfar,Total,"Total, all crimes",NA
California,San Bernardino Comm College,Total,"Total, all crimes",76
California,San Bernardino County,Total,"Total, all crimes","21,780"
California,San Bernardino Highway Patrol,Total,"Total, all crimes","6,313"
California,San Bernardino Santa Fe R.R.,Total,"Total, all crimes",NA
California,San Bernardino State Police,Total,"Total, all crimes",NA
California,San Bernardino Usd,Total,"Total, all crimes","3,224"
California,San Bruno,Total,"Total, all crimes","1,236"
California,San Carlos,Total,"Total, all crimes",NA
California,San Clemente,Total,"Total, all crimes","1,691"
California,San Diego,Total,"Total, all crimes","54,031"
California,San Diego County,Total,"Total, all crimes","14,116"
California,San Diego Highway Patrol,Total,"Total, all crimes","6,459"
California,San Diego Santa Fe Railway,Total,"Total, all crimes",NA
California,San Diego St University,Total,"Total, all crimes",658
California,San Diego State Police,Total,"Total, all crimes",NA
California,San Dimas,Total,"Total, all crimes",956
California,San Fernando,Total,"Total, all crimes",675
California,San Francisco,Total,"Total, all crimes","20,482"
California,San Francisco City and County,Total,"Total, all crimes",NA
California,San Francisco Highway Pa,Total,"Total, all crimes","1,364"
California,San Francisco St Univ,Total,"Total, all crimes",194
California,San Francisco State Police,Total,"Total, all crimes",NA
California,San Gabriel,Total,"Total, all crimes",737
California,San Jacinto,Total,"Total, all crimes","1,323"
California,San Joaquin County,Total,"Total, all crimes","4,287"
California,San Joaquin Highway Patr,Total,"Total, all crimes","3,356"
California,San Joaquin Santa Fe Railway,Total,"Total, all crimes",NA
California,San Joaquin State Police,Total,"Total, all crimes",NA
California,San Jose,Total,"Total, all crimes","21,293"
California,San Jose/Evergreen Com C,Total,"Total, all crimes",21
California,San Juan Bautista,Total,"Total, all crimes",NA
California,San Juan Capistrano,Total,"Total, all crimes","1,146"
California,San Leandro,Total,"Total, all crimes","3,843"
California,San Luis Obispo,Total,"Total, all crimes","3,852"
California,San Luis Obispo County,Total,"Total, all crimes","2,807"
California,San Luis Obispo Highway,Total,"Total, all crimes","1,190"
California,San Marcos,Total,"Total, all crimes","2,101"
California,San Marino,Total,"Total, all crimes",150
California,San Mateo,Total,"Total, all crimes","3,946"
California,San Mateo County,Total,"Total, all crimes","4,031"
California,San Mateo Highway Patrol,Total,"Total, all crimes","1,457"
California,San Mateo State Police,Total,"Total, all crimes",NA
California,San Pablo,Total,"Total, all crimes","1,679"
California,San Rafael,Total,"Total, all crimes","3,251"
California,San Ramon,Total,"Total, all crimes",587
California,Sand City,Total,"Total, all crimes",47
California,Sanger,Total,"Total, all crimes",914
California,Santa Ana,Total,"Total, all crimes","14,052"
California,Santa Barbara,Total,"Total, all crimes","14,796"
California,Santa Barbara County,Total,"Total, all crimes","4,980"
California,Santa Barbara Highway Patrol,Total,"Total, all crimes","1,449"
California,Santa Barbara State Police,Total,"Total, all crimes",NA
California,Santa Clara,Total,"Total, all crimes","4,335"
California,Santa Clara County,Total,"Total, all crimes","4,817"
California,Santa Clara Highway Patrol,Total,"Total, all crimes","2,808"
California,Santa Clara State Police,Total,"Total, all crimes",NA
California,Santa Clara Transit Dist,Total,"Total, all crimes",312
California,Santa Clarita,Total,"Total, all crimes","5,039"
California,Santa Cruz,Total,"Total, all crimes","6,909"
California,Santa Cruz County,Total,"Total, all crimes","3,705"
California,Santa Cruz Highway Patrol,Total,"Total, all crimes","1,468"
California,Santa Fe Springs,Total,"Total, all crimes",898
California,Santa Maria,Total,"Total, all crimes","2,791"
California,Santa Monica,Total,"Total, all crimes","5,764"
California,Santa Paula,Total,"Total, all crimes","2,096"
California,Santa Rosa,Total,"Total, all crimes","9,212"
California,Santa Rosa Jr. College,Total,"Total, all crimes",202
California,Santee,Total,"Total, all crimes","2,220"
California,Saratoga,Total,"Total, all crimes",74
California,Sausalito,Total,"Total, all crimes",312
California,Scotts Valley,Total,"Total, all crimes",553
California,Seal Beach,Total,"Total, all crimes",684
California,Seaside,Total,"Total, all crimes","1,335"
California,Sebastopol,Total,"Total, all crimes",780
California,Selma,Total,"Total, all crimes","1,538"
California,SF Bart: Alameda County,Total,"Total, all crimes",974
California,SF Bart: Contra Costa County,Total,"Total, all crimes",303
California,SF Bart: San Francisco Co,Total,"Total, all crimes",386
California,SF Bart: San Mateo County,Total,"Total, all crimes",59
California,Shafter,Total,"Total, all crimes","1,180"
California,Shasta County,Total,"Total, all crimes","1,150"
California,Shasta County Marshal,Total,"Total, all crimes",98
California,Shasta Highway Patrol,Total,"Total, all crimes","1,225"
California,Shasta State Police,Total,"Total, all crimes",NA
California,Sierra County,Total,"Total, all crimes",174
California,Sierra Highway Patrol,Total,"Total, all crimes",29
California,Sierra Madre,Total,"Total, all crimes",163
California,Signal Hill,Total,"Total, all crimes",982
California,Simi Valley,Total,"Total, all crimes","5,006"
California,Siskiyou County,Total,"Total, all crimes",708
California,Siskiyou Highway Patrol,Total,"Total, all crimes",582
California,So Pac R.R.: San Luis Obispo,Total,"Total, all crimes",NA
California,So Pac. R.R. Fresno,Total,"Total, all crimes",NA
California,So Pac. R.R. Los Angeles,Total,"Total, all crimes",NA
California,So Pac. R.R. Mendocino,Total,"Total, all crimes",NA
California,So Pac. R.R. San Bernardino,Total,"Total, all crimes",NA
California,So Pac. R.R. San Francisco,Total,"Total, all crimes",NA
California,So Pac. R.R. San Joaquin,Total,"Total, all crimes",NA
California,So Pac. R.R. Santa Clara,Total,"Total, all crimes",NA
California,So Pacific R.R. Sacramento,Total,"Total, all crimes",NA
California,So Pacific Trans Kern,Total,"Total, all crimes",NA
California,So Pacific Trans Placer,Total,"Total, all crimes",NA
California,So. Pac. R.R. Contra Costa,Total,"Total, all crimes",NA
California,So.Pac. R.R. Alameda,Total,"Total, all crimes",NA
California,Solana Beach,Total,"Total, all crimes",172
California,Solano Community College,Total,"Total, all crimes",3
California,Solano County,Total,"Total, all crimes","2,479"
California,Solano County State Police,Total,"Total, all crimes",NA
California,Solano Highway Patrol,Total,"Total, all crimes",840
California,Soledad,Total,"Total, all crimes",541
California,Solvang,Total,"Total, all crimes",206
California,Sonoma,Total,"Total, all crimes",582
California,Sonoma County,Total,"Total, all crimes","6,431"
California,Sonoma Developmental Ctr,Total,"Total, all crimes",NA
California,Sonoma Highway Patrol,Total,"Total, all crimes","1,576"
California,Sonoma State Police,Total,"Total, all crimes",NA
California,Sonoma State University,Total,"Total, all crimes",34
California,Sonora,Total,"Total, all crimes",864
California,South El Monte,Total,"Total, all crimes","1,141"
California,South Gate,Total,"Total, all crimes","2,759"
California,South Lake Tahoe,Total,"Total, all crimes","1,382"
California,South Pasadena,Total,"Total, all crimes",741
California,South San Francisco,Total,"Total, all crimes","2,349"
California,St. Helena,Total,"Total, all crimes",130
California,Stallion Springs,Total,"Total, all crimes",41
California,Stanislaus County,Total,"Total, all crimes","2,249"
California,Stanislaus Highway Patrol,Total,"Total, all crimes","2,086"
California,Stanislaus Santa Fe Railway,Total,"Total, all crimes",NA
California,Stanislaus State Police,Total,"Total, all crimes",NA
California,Stanton,Total,"Total, all crimes","1,356"
California,State Totals,Total,"Total, all crimes","1,655,356"
California,Stockton,Total,"Total, all crimes","8,913"
California,Stockton Developmental C,Total,"Total, all crimes",NA
California,Stockton Unified Sch Dis,Total,"Total, all crimes","2,327"
California,Suisun City,Total,"Total, all crimes",863
California,Sunnyvale,Total,"Total, all crimes","3,338"
California,Susanville,Total,"Total, all crimes",775
California,Sutter County,Total,"Total, all crimes","1,576"
California,Sutter Creek,Total,"Total, all crimes",104
California,Sutter Highway Patrol,Total,"Total, all crimes",191
California,Taft,Total,"Total, all crimes",827
California,Tehachapi,Total,"Total, all crimes",697
California,Tehama County,Total,"Total, all crimes","2,297"
California,Tehama Highway Patrol,Total,"Total, all crimes",549
California,Temecula,Total,"Total, all crimes","3,030"
California,Temple City,Total,"Total, all crimes",820
California,Thousand Oaks,Total,"Total, all crimes","3,842"
California,Tiburon,Total,"Total, all crimes",107
California,Torrance,Total,"Total, all crimes","4,270"
California,Tracy,Total,"Total, all crimes","2,646"
California,Trinidad,Total,"Total, all crimes",NA
California,Trinity County,Total,"Total, all crimes","1,087"
California,Trinity Highway Patrol,Total,"Total, all crimes",300
California,Truckee,Total,"Total, all crimes",487
California,Tulare,Total,"Total, all crimes","4,049"
California,Tulare County,Total,"Total, all crimes","8,602"
California,Tulare Highway Patrol,Total,"Total, all crimes","2,644"
California,Tulare Santa Fe Railway,Total,"Total, all crimes",NA
California,Tulelake,Total,"Total, all crimes",16
California,Tuolumne County,Total,"Total, all crimes","2,153"
California,Tuolumne Highway Patrol,Total,"Total, all crimes",518
California,Turlock,Total,"Total, all crimes","3,316"
California,Tustin,Total,"Total, all crimes","2,804"
California,Twentynine Palms,Total,"Total, all crimes",828
California,Twin Cities,Total,"Total, all crimes",514
California,"UC Med Ctr, Sacrament",Total,"Total, all crimes",116
California,UC: Berkeley,Total,"Total, all crimes",677
California,UC: Davis,Total,"Total, all crimes",178
California,UC: Hastings C of L,Total,"Total, all crimes",NA
California,UC: Irvine,Total,"Total, all crimes",176
California,UC: Lawrence Berkeley,Total,"Total, all crimes",NA
California,UC: Lawrence-Livermore La,Total,"Total, all crimes",NA
California,UC: Los Angeles,Total,"Total, all crimes",345
California,UC: Merced,Total,"Total, all crimes",19
California,UC: Riverside,Total,"Total, all crimes",211
California,UC: San Diego,Total,"Total, all crimes",173
California,UC: San Francisco,Total,"Total, all crimes",246
California,UC: Santa Barbara,Total,"Total, all crimes",404
California,UC: Santa Cruz,Total,"Total, all crimes",115
California,Ukiah,Total,"Total, all crimes","2,248"
California,Union City,Total,"Total, all crimes","1,894"
California,Union Pacific R.R. Alameda County,Total,"Total, all crimes",NA
California,Union Pacific R.R. Butte County,Total,"Total, all crimes",NA
California,Union Pacific R.R. San Joaquin County,Total,"Total, all crimes",NA
California,Union Pacific R.R. Sec Co Dept,Total,"Total, all crimes",NA
California,Union Pacific R.R. Sec Dept Stainlaus Co,Total,"Total, all crimes",NA
California,Union Pacific R.R. Sec Dp Sacramento Co,Total,"Total, all crimes",NA
California,Union Pacific R.R.: Alameda County,Total,"Total, all crimes",74
California,Union Pacific R.R.: Amador County,Total,"Total, all crimes",NA
California,Union Pacific R.R.: Butte County,Total,"Total, all crimes",5
California,Union Pacific R.R.: Colusa County,Total,"Total, all crimes",NA
California,Union Pacific R.R.: Contra Costa County,Total,"Total, all crimes",10
California,Union Pacific R.R.: El Dorado County,Total,"Total, all crimes",NA
California,Union Pacific R.R.: Fresno County,Total,"Total, all crimes",93
California,Union Pacific R.R.: Glenn County,Total,"Total, all crimes",NA
California,Union Pacific R.R.: Humboldt County,Total,"Total, all crimes",NA
California,Union Pacific R.R.: Imperial County,Total,"Total, all crimes",39
California,Union Pacific R.R.: Kern County,Total,"Total, all crimes",57
California,Union Pacific R.R.: Lassen County,Total,"Total, all crimes",NA
California,Union Pacific R.R.: Los Angeles County,Total,"Total, all crimes",356
California,Union Pacific R.R.: Madera County,Total,"Total, all crimes",17
California,Union Pacific R.R.: Marin County,Total,"Total, all crimes",NA
California,Union Pacific R.R.: Merced County,Total,"Total, all crimes",14
California,Union Pacific R.R.: Monterey County,Total,"Total, all crimes",NA
California,Union Pacific R.R.: Napa County,Total,"Total, all crimes",NA
California,Union Pacific R.R.: Nevada County,Total,"Total, all crimes",NA
California,Union Pacific R.R.: Orange County,Total,"Total, all crimes",3
California,Union Pacific R.R.: Placer County,Total,"Total, all crimes",94
California,Union Pacific R.R.: Plumas County,Total,"Total, all crimes",NA
California,Union Pacific R.R.: Riverside County,Total,"Total, all crimes",107
California,Union Pacific R.R.: Sacramento County,Total,"Total, all crimes",157
California,Union Pacific R.R.: San Benito County,Total,"Total, all crimes",6
California,Union Pacific R.R.: San Bernardino Cty,Total,"Total, all crimes",206
California,Union Pacific R.R.: San Francisco Cty,Total,"Total, all crimes",NA
California,Union Pacific R.R.: San Joaquin County,Total,"Total, all crimes",60
California,Union Pacific R.R.: San Luis Obispo Cty,Total,"Total, all crimes",19
California,Union Pacific R.R.: San Mateo County,Total,"Total, all crimes",2
California,Union Pacific R.R.: Santa Barbara Coun,Total,"Total, all crimes",1
California,Union Pacific R.R.: Santa Clara Co.,Total,"Total, all crimes",NA
California,Union Pacific R.R.: Santa Clara County,Total,"Total, all crimes",60
California,Union Pacific R.R.: Santa Cruz County,Total,"Total, all crimes",NA
California,Union Pacific R.R.: Shasta County,Total,"Total, all crimes",4
California,Union Pacific R.R.: Siskiyou County,Total,"Total, all crimes",3
California,Union Pacific R.R.: Solano County,Total,"Total, all crimes",33
California,Union Pacific R.R.: Sonoma County,Total,"Total, all crimes",NA
California,Union Pacific R.R.: Stanislaus County,Total,"Total, all crimes",56
California,Union Pacific R.R.: Sutter County,Total,"Total, all crimes",NA
California,Union Pacific R.R.: Tehama County,Total,"Total, all crimes",NA
California,Union Pacific R.R.: Tulare County,Total,"Total, all crimes",7
California,Union Pacific R.R.: Ventura County,Total,"Total, all crimes",15
California,Union Pacific R.R.: Yolo County,Total,"Total, all crimes",19
California,Union Pacific R.R.: Yuba County,Total,"Total, all crimes",5
California,Union Pacific Rr-Los Ang,Total,"Total, all crimes",NA
California,Union Pacific Rr-Riversi,Total,"Total, all crimes",NA
California,Upland,Total,"Total, all crimes","2,570"
California,Vacaville,Total,"Total, all crimes","3,256"
California,Vallejo,Total,"Total, all crimes","3,941"
California,Ventura,Total,"Total, all crimes","6,462"
California,Ventura Cnty Com Col Dst,Total,"Total, all crimes",33
California,Ventura County,Total,"Total, all crimes","7,434"
California,Ventura Highway Patrol,Total,"Total, all crimes","2,307"
California,Vernon,Total,"Total, all crimes",306
California,Victorville,Total,"Total, all crimes","4,598"
California,Villa Park,Total,"Total, all crimes",125
California,Visalia,Total,"Total, all crimes","7,741"
California,Vista,Total,"Total, all crimes","5,744"
California,Walnut,Total,"Total, all crimes",368
California,Walnut Creek,Total,"Total, all crimes","1,876"
California,Waterford,Total,"Total, all crimes",246
California,Watsonville,Total,"Total, all crimes","3,230"
California,Weed,Total,"Total, all crimes",395
California,West Covina,Total,"Total, all crimes","3,041"
California,West Hollywood,Total,"Total, all crimes","3,631"
California,West Sacramento,Total,"Total, all crimes","1,925"
California,West Valley-Mission College,Total,"Total, all crimes",7
California,Westlake Village,Total,"Total, all crimes",124
California,Westminster,Total,"Total, all crimes","3,446"
California,Westmorland,Total,"Total, all crimes",104
California,Wheatland,Total,"Total, all crimes",240
California,Whittier,Total,"Total, all crimes","2,522"
California,Wildomar,Total,"Total, all crimes",729
California,Williams,Total,"Total, all crimes",187
California,Willits,Total,"Total, all crimes",650
California,Willows,Total,"Total, all crimes",372
California,Windsor,Total,"Total, all crimes",974
California,Winters,Total,"Total, all crimes",242
California,Woodlake,Total,"Total, all crimes",638
California,Woodland,Total,"Total, all crimes","2,731"
California,Yolo County,Total,"Total, all crimes","2,106"
California,Yolo Highway Patrol,Total,"Total, all crimes",350
California,Yolo State Police,Total,"Total, all crimes",NA
California,Yorba Linda,Total,"Total, all crimes",844
California,Yountville,Total,"Total, all crimes",39
California,Yreka,Total,"Total, all crimes",588
California,Yuba City,Total,"Total, all crimes","3,434"
California,Yuba County,Total,"Total, all crimes","3,134"
California,Yuba Highway Patrol,Total,"Total, all crimes",235
California,Yucaipa,Total,"Total, all crimes","2,284"
California,Yucca Valley,Total,"Total, all crimes","1,163"
